time,beach.x,presence,bluebottles,crt_salt,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_uas,wnd_vas,wave_hs,wave_t01,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir,wnd_dir
2016-03-02,0,0,0,35.576797,23.572495,-0.24262215,-0.34089175,7.79296875,-3.0947265625,-7.0625,1.4911667,6.861666,0.11408334,0.9322591,-0.24741028,104.86298,203.6626179630568
2016-03-03,0,0,0,35.596943,23.31569,-0.19989623,-0.28717917,7.3046875,-3.6552734375,-6.2646484375,1.4014167,6.1787496,0.1440417,0.99255854,0.09803579,84.359146,210.2625453963653
2016-03-04,0,0,0,35.61037,23.043304,-0.19165623,-0.29847103,5.638671875,-2.1572265625,-4.8798828125,1.2393335,6.316667,0.08225001,0.99053305,-0.058756173,93.39468,203.84855561162155
2016-03-05,0,0,0,35.585194,22.57637,-0.2829066,-0.40498063,6.00390625,-2.3896484375,-5.2919921875,1.3990836,6.9933324,0.084625,0.98880666,-0.07283603,94.21282,204.30199960134203
2016-03-06,0,0,0,35.591908,22.350693,-0.2499466,-0.3582873,5.7578125,-2.6806640625,-4.9609375,1.4293336,6.4125004,0.10479168,0.9977457,0.061900154,86.44992,208.3847621856543
2016-03-07,0,0,0,35.60198,22.117218,-0.28809473,-0.42664877,6.212890625,-3.37890625,-5.1513671875,1.2373334,6.0033336,0.13024999,0.9912725,0.12376732,82.88305,213.26183709516903
2016-03-08,0,0,0,35.64394,22.257309,-0.33936584,-0.44709617,5.171875,-2.5,-4.08203125,1.2414168,6.2895827,0.11204168,0.99350214,0.113414876,83.487495,211.4849773765889
2016-03-09,0,0,0,35.640583,22.054962,-0.3027436,-0.4135258,6.181640625,-2.49609375,-5.4775390625,1.3487501,6.2783337,0.12962498,0.98296475,0.17288941,80.02452,204.49857419143376
2016-03-10,0,0,0,35.63219,21.938232,-0.28565323,-0.41444135,3.8125,-1.7900390625,-0.2021484375,1.1394167,6.4833336,0.11225,0.9711434,-0.102470376,96.023285,263.55690646186656
2016-03-11,0,0,0,35.67919,23.689224,-0.2804651,-0.37415692,5.48828125,-2.3330078125,-4.8427734375,1.3187499,6.1941667,0.11958333,0.9923675,-0.06763077,93.89873,205.72245846726003
2016-03-12,0,0,0,35.68087,23.626968,-0.25971252,-0.3668325,5.9921875,-2.96875,-5.0791015625,1.2974168,6.4516664,0.10712501,0.99608207,-0.055624973,93.19629,210.30641315697824
