time,hour,beach.x,observer,abundance,council_report,beach_key,surf_club,slsa_branch,state,beach_lat,beach_lon,length,orientation,embaymentisation,beach.y,crt_salt,source,crt_closest_lat,crt_closest_lon,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_temp,wnd_uas,wnd_vas,wnd_closest_lat,wnd_closest_lon,wave_closest_lat,wave_closest_lon,wave_hs,wave_t01,wave_cge,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir
2023-08-14,8:31:00,Maroubra Beach (North),JL,20.0,Beware,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.56169,BeachWatch,-33.95000076293945,151.25,17.144379,-0.015259255,-0.0073244423,5.59375,291.125,0.5419921875,4.7666015625,-33.99,151.29,-33.99992,151.26692,1.2344166,7.462084,7.070832,0.10391667,0.18507802,-0.9826336,169.33336
2023-08-15,13:00:00,Maroubra Beach (North),KP,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.560013,BeachWatch,-33.95000076293945,151.25,17.066559,0.008239998,0.017090365,3.845703125,291.453125,0.19140625,3.3818359375,-33.99,151.29,-33.99992,151.26692,1.31175,7.099584,7.4250007,0.09745834,0.2753008,-0.96012545,164.0006
2023-08-16,8:45:00,Maroubra Beach (North),JL,2.0,Some,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.560013,BeachWatch,-33.95000076293945,151.25,17.11325,-0.093691826,-0.11719108,3.505859375,291.609375,0.1806640625,-2.4443359375,-33.99,151.29,-33.99992,151.26692,1.2193334,7.4008336,6.2000003,0.10616667,0.4154224,-0.9055981,155.35777
2023-08-17,10:30:00,Maroubra Beach (North),KP,1.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.57512,BeachWatch,-33.95000076293945,151.25,17.24556,-0.122989595,-0.15839106,3.66796875,291.40625,0.7841796875,-2.43359375,-33.99,151.29,-33.99992,151.26692,1.0348334,7.021666,4.245834,0.10795834,0.6388319,-0.7611623,139.99376
2023-08-18,9:00:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.581837,BeachWatch,-33.95000076293945,151.25,17.128815,0.106509596,0.11139256,10.369140625,291.375,10.1787109375,1.6328125,-33.99,151.29,-33.99992,151.26692,1.115,5.5475,5.4375,0.11866668,0.1855049,-0.93111056,168.73251
2023-08-19,16:00:00,Maroubra Beach (North),KP,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.595264,BeachWatch,-33.95000076293945,151.25,16.91092,0.072328866,0.08239998,8.2109375,291.046875,8.0673828125,1.44140625,-33.99,151.29,-33.99992,151.26692,1.3481666,7.1258335,7.983333,0.10920834,0.06510734,-0.9977953,176.26666
2023-08-21,16:50:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.57344,BeachWatch,-33.95000076293945,151.25,17.07434,-0.014648885,-0.024414808,3.443359375,291.109375,0.01953125,-2.80078125,-33.99,151.29,-33.99992,151.26692,0.80474997,6.9520836,2.708333,0.11279168,0.22514586,-0.9739345,166.9835
2023-08-22,8:45:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.571762,BeachWatch,-33.95000076293945,151.25,17.128815,-0.07721183,-0.104068115,5.6796875,291.125,0.26171875,-1.5078125,-33.99,151.29,-33.99992,151.26692,0.79950005,6.0104165,2.2499998,0.10383334,0.7143157,-0.57387334,128.778
2023-08-25,8:50:00,Maroubra Beach (North),JL,2.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.581837,BeachWatch,-33.95000076293945,151.25,17.354507,-0.006714072,0.0024414808,2.19921875,291.109375,0.71484375,1.3212890625,-33.99,151.29,-33.99992,151.26692,0.48091665,6.1312504,0.82499987,0.13558334,0.85590196,-0.5091843,120.74882
2023-08-23,16:00:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.58855,BeachWatch,-33.95000076293945,151.25,17.121033,0.054628134,0.0756859,5.53125,291.234375,-0.02734375,5.1806640625,-33.99,151.29,-33.99992,151.26692,1.0630001,5.4387507,3.4916666,0.13679166,0.46295676,-0.82505465,150.70222
2023-08-24,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.586872,BeachWatch,-33.95000076293945,151.25,17.276688,0.050050355,0.076906644,3.0078125,291.03125,0.1416015625,-1.85546875,-33.99,151.29,-33.99992,151.26692,0.6856666,5.2154174,1.5,0.171625,0.53470105,-0.83315307,147.30846
2023-08-28,8:40:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.56505,BeachWatch,-33.95000076293945,151.25,17.494583,-0.08087405,-0.112308115,4.1171875,291.109375,-0.60546875,-3.4833984375,-33.99,151.29,-33.99992,151.26692,1.0609168,8.700417,6.4,0.07270833,0.25822306,-0.9583599,164.92018
2023-08-31,9:30:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.5298,BeachWatch,-33.95000076293945,151.25,17.665787,0.0112918485,0.025635548,5.111328125,291.265625,2.1337890625,3.4560546875,-33.99,151.29,-33.99992,151.26692,0.8784167,5.2262497,2.3374999,0.16391668,0.8022354,-0.48718345,121.26956
2023-09-01,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.499588,BeachWatch,-33.95000076293945,151.25,17.300034,0.14404736,0.19287698,9.978515625,291.359375,2.6416015625,9.53515625,-33.99,151.29,-33.99992,151.26692,2.2913334,6.7804165,20.4625,0.115083344,0.20052628,-0.9791452,168.42603
2023-09-02,8:10:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.514694,BeachWatch,-33.95000076293945,151.25,17.300034,0.11719108,0.14862514,5.244140625,291.375,1.1083984375,4.5166015625,-33.99,151.29,-33.99992,151.26692,1.683,6.74375,10.625001,0.11866667,0.37788236,-0.9176664,157.6188
2023-09-03,12:30:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.513016,BeachWatch,-33.95000076293945,151.25,17.346725,-0.08728294,-0.09796441,3.076171875,291.375,-0.8671875,-0.7275390625,-33.99,151.29,-33.99992,151.26692,1.4871669,7.4066663,8.887499,0.113125004,0.647886,-0.7575507,139.46169
2023-09-04,,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.511337,BeachWatch,-33.95000076293945,151.25,17.463455,-0.15900144,-0.20966215,6.109375,291.484375,-0.83984375,-4.9033203125,-33.99,151.29,-33.99992,151.26692,1.4843334,7.391667,9.258333,0.10333335,0.92673826,-0.334972,109.87252
2023-09-05,8:40:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.511337,BeachWatch,-33.95000076293945,151.25,17.510147,-0.01739555,-0.025025178,5.841796875,291.5,4.9443359375,2.60546875,-33.99,151.29,-33.99992,151.26692,1.0715834,7.0745826,4.495834,0.11416667,0.87536556,-0.31807306,109.969124
2023-09-06,8:50:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.50966,BeachWatch,-33.95000076293945,151.25,17.549057,-0.14374217,-0.18738365,5.841796875,291.390625,-1.7021484375,-5.1181640625,-33.99,151.29,-33.99992,151.26692,1.2171667,6.609167,5.662501,0.10179167,0.7967722,-0.3555993,114.05119
2023-09-07,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.511337,BeachWatch,-33.95000076293945,151.25,17.81366,-0.20905179,-0.2722251,7.57421875,291.15625,-0.90625,-6.62890625,-33.99,151.29,-33.99992,151.26692,1.3400002,6.139584,6.1166663,0.12629168,0.9381594,0.33540723,70.3272
2023-09-09,8:00:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.513016,BeachWatch,-33.95000076293945,151.25,17.502365,0.04364147,0.055543687,5.15625,291.015625,3.8671875,2.5732421875,-33.99,151.29,-33.99992,151.26692,1.0668334,7.014584,4.6625,0.12041666,0.43949363,-0.7998615,151.21286
