time,beach.x,presence,bluebottles,crt_salt,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_temp,wnd_uas,wnd_vas,wave_hs,wave_t01,wave_cge,wave_fp,wave_cos_dir,wave_dir,wnd_dir
2016-03-02,0,0,0,35.576797,23.572495,-0.24262215,-0.34089175,7.79296875,297.53125,-3.0947265625,-7.0625,1.4911667,6.861666,8.958334,0.11408334,-0.24741028,104.86298,203.6626179630568
2016-03-03,0,0,0,35.596943,23.31569,-0.19989623,-0.28717917,7.3046875,297.390625,-3.6552734375,-6.2646484375,1.4014167,6.1787496,6.9499993,0.1440417,0.09803579,84.359146,210.2625453963653
2016-03-04,0,0,0,35.61037,23.043304,-0.19165623,-0.29847103,5.638671875,296.9375,-2.1572265625,-4.8798828125,1.2393335,6.316667,6.4083347,0.08225001,-0.058756173,93.39468,203.84855561162155
2016-03-05,0,0,0,35.585194,22.57637,-0.2829066,-0.40498063,6.00390625,296.875,-2.3896484375,-5.2919921875,1.3990836,6.9933324,8.599999,0.084625,-0.07283603,94.21282,204.30199960134203
2016-03-06,0,0,0,35.591908,22.350693,-0.2499466,-0.3582873,5.7578125,296.984375,-2.6806640625,-4.9609375,1.4293336,6.4125004,7.545833,0.10479168,0.061900154,86.44992,208.3847621856543
2016-03-07,0,0,0,35.60198,22.117218,-0.28809473,-0.42664877,6.212890625,296.890625,-3.37890625,-5.1513671875,1.2373334,6.0033336,5.3416667,0.13024999,0.12376732,82.88305,213.26183709516903
2016-03-08,0,0,0,35.64394,22.257309,-0.33936584,-0.44709617,5.171875,296.875,-2.5,-4.08203125,1.2414168,6.2895827,5.5833335,0.11204168,0.113414876,83.487495,211.4849773765889
2016-03-09,0,0,0,35.640583,22.054962,-0.3027436,-0.4135258,6.181640625,296.984375,-2.49609375,-5.4775390625,1.3487501,6.2783337,6.4166675,0.12962498,0.17288941,80.02452,204.49857419143376
2016-03-10,0,0,0,35.63219,21.938232,-0.28565323,-0.41444135,3.8125,297.109375,-1.7900390625,-0.2021484375,1.1394167,6.4833336,5.2791667,0.11225,-0.102470376,96.023285,263.55690646186656
2016-03-11,0,0,0,35.67919,23.689224,-0.2804651,-0.37415692,5.48828125,297.671875,-2.3330078125,-4.8427734375,1.3187499,6.1941667,6.3250003,0.11958333,-0.06763077,93.89873,205.72245846726003
2016-03-12,0,0,0,35.68087,23.626968,-0.25971252,-0.3668325,5.9921875,297.640625,-2.96875,-5.0791015625,1.2974168,6.4516664,6.3208337,0.10712501,-0.055624973,93.19629,210.30641315697824
2016-03-13,0,0,0,35.68087,23.59584,-0.237434,-0.31678212,4.4375,297.40625,-2.07421875,-3.6943359375,1.303,6.5020823,6.316667,0.10758334,0.019900547,88.85694,209.3124314424892
2016-03-14,0,0,0,35.706047,24.802094,-0.20996734,-0.245674,6.318359375,297.59375,-0.5419921875,5.7197265625,1.3773335,6.3333325,6.9625,0.112166695,-0.18408687,101.15413,354.58690616455647
2016-03-15,0,0,0,35.706047,24.545273,-0.12451552,-0.12329478,8.03125,297.734375,-2.3046875,7.5341796875,1.7168335,6.2691665,10.858333,0.106875,-0.5811013,126.55827,342.9912540907066
2016-03-16,0,0,0,35.699333,24.358505,-0.1944029,-0.22003846,5.056640625,298.078125,-2.70703125,3.7373046875,2.066,7.1687503,16.845835,0.11062497,-0.7292792,136.88857,324.0831655324031
2016-03-17,0,0,0,35.75808,24.233978,-0.20905179,-0.2725303,5.87890625,297.90625,-1.9482421875,-4.8232421875,1.7970003,7.214167,12.962501,0.10950003,-0.5148924,121.10691,201.99515776695029
2016-03-18,0,0,0,35.764793,23.88379,-0.067445904,-0.100405894,8.38671875,297.875,6.0654296875,-0.28515625,1.2854167,6.692082,6.316667,0.11362498,-0.29257584,107.54866,92.69168536543611
2016-03-21,0,0,0,35.76647,23.790405,-0.006408887,0.010376293,7.904296875,297.390625,0.5,7.7783203125,2.174167,7.0695825,19.433332,0.09416667,-0.88550377,152.36642,3.677982870559276
2016-03-22,0,0,0,35.76815,23.549149,0.12756737,0.1638844,7.568359375,297.484375,2.3994140625,6.8828125,2.0747502,6.7537503,16.262499,0.11741665,-0.8777392,151.73796,19.219041932137657
2016-03-23,0,0,0,35.737938,24.08612,-0.14374217,-0.16632588,2.529296875,297.71875,0.4990234375,-0.40234375,1.6738334,7.9374995,12.562499,0.098625,-0.52782005,122.224754,128.87792104112123
2016-03-24,0,0,0,35.7564,24.195068,-0.2047792,-0.26917326,4.03125,297.75,-1.65234375,-2.9130859375,1.4288335,8.660416,10.400002,0.087749995,-0.30168474,107.57476,209.5625234694577
2016-03-25,0,0,0,35.764793,24.101685,-0.18768883,-0.22400586,3.38671875,298.078125,-0.1162109375,1.578125,1.3762501,8.242917,9.245833,0.08970835,-0.34941533,110.730995,355.7884198748113
2016-03-26,0,0,0,35.72283,24.560837,-0.2804651,-0.34028137,2.69921875,298.125,-1.8857421875,-0.3955078125,1.3479166,7.3775005,8.0125,0.09191668,-0.57376117,125.343544,258.15471498729755
2016-03-27,0,0,0,35.707726,24.65422,-0.22247994,-0.26490065,4.1484375,298.234375,-3.953125,-0.2001953125,1.18825,7.5958323,6.7125,0.09300002,-0.5671281,125.021835,267.10088707811985
2016-03-29,0,0,0,35.669117,24.389633,-0.33875546,-0.41016877,5.50390625,298.125,2.5849609375,4.12890625,1.21325,6.9320836,6.2083325,0.096833326,-0.6626707,131.55939,32.04921430649409
2016-03-30,0,0,0,35.652332,24.304031,-0.2395703,-0.29328287,5.0234375,298.125,4.0556640625,2.0908203125,1.22075,6.865833,6.504167,0.10433333,-0.7311557,139.41699,62.72749405713717
2016-03-31,0,0,0,35.650654,24.109467,-0.20538957,-0.24445327,4.001953125,298.125,0.8857421875,2.59765625,1.9915832,7.417916,16.658335,0.10808334,-0.96614283,165.6837,18.828218504868172
2016-04-01,0,0,0,35.670795,24.350723,-0.20050661,-0.2642903,5.60546875,298.015625,-0.7705078125,-4.6875,1.0499166,6.0870833,3.9708335,0.12954167,-0.70446473,137.72298,189.3345208231743
2016-04-02,0,0,0,35.677513,24.218414,-0.12848292,-0.15015107,5.01953125,297.453125,-0.6943359375,3.4091796875,0.83008343,5.5591664,2.5458333,0.15895835,-0.42703137,118.23427,348.4882116018548
2016-04-03,0,0,0,35.675835,24.031647,-0.12878811,-0.14557329,3.53125,297.15625,-2.6845703125,1.18359375,1.2567502,5.8199997,5.358334,0.12641667,-0.87512374,152.2333,293.79208734791246
2016-04-04,0,0,1,35.684227,23.821533,-0.11902219,-0.1513718,4.7109375,297.015625,-1.6533203125,-3.1591796875,1.16625,5.6566663,4.3541665,0.14099999,-0.42683598,117.24656,207.62479344108692
2016-04-05,0,0,0,35.69262,23.588058,-0.20416883,-0.27130955,8.17578125,296.78125,-2.5419921875,-7.5703125,1.2514167,5.6108327,4.883333,0.149,0.27791524,73.67486,198.56124350341656
2016-04-06,0,0,0,35.697655,23.331253,-0.105288856,-0.13489181,8.568359375,296.640625,-0.9765625,1.08203125,1.4071668,5.853333,6.904167,0.13733335,0.08850319,84.00917,317.9328930427007
2016-04-07,0,0,0,35.719475,23.043304,-0.065309614,-0.0695822,3.98828125,296.625,-0.9873046875,3.0927734375,1.6515001,6.3925,10.312501,0.122958325,-0.8840203,153.02452,342.2953801950846
2016-04-08,0,0,0,35.72283,22.926575,-0.11627552,-0.14557329,3.779296875,296.1875,1.28125,0.7265625,1.0378335,6.7887497,4.241667,0.10295833,-0.7695408,140.3917,60.44359098218763
2016-04-09,0,0,0,35.729546,22.856537,-0.11078219,-0.12726219,3.00390625,296.015625,1.0322265625,1.203125,0.8570833,7.050417,3.0374997,0.10737502,-0.54645276,123.32383,40.628093417378125
2016-04-10,0,0,1,35.776543,22.630844,-0.006103702,-0.010681478,4.626953125,296.546875,2.4970703125,0.0,0.7495835,7.1262493,2.458333,0.108250014,-0.25985542,105.122986,90.0
2016-04-11,0,0,0,35.783257,22.490768,0.12146367,0.1596118,5.63671875,295.859375,-1.6201171875,4.6982421875,1.1516668,6.37625,6.229166,0.09437501,-0.8892072,154.7651,340.97402693823983
2016-04-12,0,0,0,35.781578,22.304,0.13458663,0.17151402,5.310546875,295.3125,-1.7724609375,4.98046875,1.4922501,6.9637504,9.858333,0.10670834,-0.9856673,170.29166,340.4102532082572
2016-04-14,0,0,0,35.793327,22.023834,0.0042725913,-0.0012207404,3.58984375,295.359375,-1.1875,-2.4755859375,0.9941668,6.1108327,3.8208332,0.08025,-0.6662526,132.72473,205.62630838096223
2016-04-15,0,0,0,35.796684,21.93045,-0.055543687,-0.08362071,5.767578125,295.15625,-1.3818359375,-5.3642578125,0.97166675,5.9270835,3.408333,0.13029166,-0.28038666,106.62718,194.44536958727693
2016-04-16,0,0,0,35.798363,21.914886,-0.0839259,-0.110477,4.943359375,295.015625,-0.5380859375,1.0361328125,1.0946667,6.889999,4.6874995,0.11362501,-0.11659367,96.69983,332.55618235891313
